n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,SIREN,Normal,3,0.02,0.48,1
15,2,SIREN,Normal,3,0.092,0.395,2
15,2,SIREN,Normal,3,0.149,0.438,3
15,2,SIREN,Normal,3,0.211,0.491,4
15,2,SIREN,Normal,3,0.241,0.514,5
15,2,SIREN,Normal,3,0.278,0.527,6
15,2,SIREN,Normal,3,0.304,0.568,7
15,2,SIREN,Normal,3,0.359,0.599,8
15,2,SIREN,Normal,3,0.398,0.636,9
15,2,SIREN,Normal,3,0.426,0.657,10
15,2,BIGEN,Normal,3,0.02,0.54,1
15,2,BIGEN,Normal,3,0.058,0.447,2
15,2,BIGEN,Normal,3,0.089,0.508,3
15,2,BIGEN,Normal,3,0.138,0.53,4
15,2,BIGEN,Normal,3,0.185,0.553,5
15,2,BIGEN,Normal,3,0.239,0.58,6
15,2,BIGEN,Normal,3,0.272,0.604,7
15,2,BIGEN,Normal,3,0.334,0.635,8
15,2,BIGEN,Normal,3,0.357,0.665,9
15,2,BIGEN,Normal,3,0.395,0.679,10
15,2,Causal RCA,Normal,3,0.61,0.02,1
15,2,Causal RCA,Normal,3,0.536,0.028,2
15,2,Causal RCA,Normal,3,0.555,0.095,3
15,2,Causal RCA,Normal,3,0.584,0.159,4
15,2,Causal RCA,Normal,3,0.593,0.249,5
15,2,Causal RCA,Normal,3,0.593,0.327,6
15,2,Causal RCA,Normal,3,0.598,0.389,7
15,2,Causal RCA,Normal,3,0.612,0.412,8
15,2,Causal RCA,Normal,3,0.66,0.46,9
15,2,Causal RCA,Normal,3,0.707,0.47,10
15,2,CIRCA,Normal,3,0.56,0.0,1
15,2,CIRCA,Normal,3,0.594,0.031,2
15,2,CIRCA,Normal,3,0.654,0.098,3
15,2,CIRCA,Normal,3,0.694,0.156,4
15,2,CIRCA,Normal,3,0.72,0.18,5
15,2,CIRCA,Normal,3,0.728,0.211,6
15,2,CIRCA,Normal,3,0.743,0.264,7
15,2,CIRCA,Normal,3,0.751,0.314,8
15,2,CIRCA,Normal,3,0.758,0.366,9
15,2,CIRCA,Normal,3,0.762,0.401,10
15,2,Traversal,Normal,3,0.063,0.407,1
15,2,Traversal,Normal,3,0.071,0.405,2
15,2,Traversal,Normal,3,0.084,0.495,3
15,2,Traversal,Normal,3,0.102,0.568,4
15,2,Traversal,Normal,3,0.123,0.649,5
15,2,Traversal,Normal,3,0.161,0.706,6
15,2,Traversal,Normal,3,0.204,0.71,7
15,2,Traversal,Normal,3,0.242,0.71,8
15,2,Traversal,Normal,3,0.299,0.71,9
15,2,Traversal,Normal,3,0.355,0.71,10
15,2,Naive,Normal,3,0.16,0.12,1
15,2,Naive,Normal,3,0.189,0.12,2
15,2,Naive,Normal,3,0.227,0.157,3
15,2,Naive,Normal,3,0.276,0.178,4
15,2,Naive,Normal,3,0.323,0.211,5
15,2,Naive,Normal,3,0.369,0.246,6
15,2,Naive,Normal,3,0.407,0.279,7
15,2,Naive,Normal,3,0.436,0.317,8
15,2,Naive,Normal,3,0.479,0.34,9
15,2,Naive,Normal,3,0.506,0.382,10
